paper_id,volume_id
033275ccc2c7c5c38592ae893da0b5923cf90717,arXiv.org_Vol2023
459cf4e6476d5e19f1bc422c162bcded54ca7f95,Applied Sciences_Vol2023
1a85628dd645ea86b7c146613651fdb30bb32c1d,SIGMOD record_Vol2022
5abf79226a8ffa2dcf33ca98bfc36c8bb01cc4fc,GRADES-NDA@SIGMOD_Vol2022
1cbbe1a129c0d1f53d8e16ca74238334372507dc,LOG IN_Vol2022
86e9b0585c8b866665de18b2744d69aefff3e16d,The VLDB journal_Vol2021
a20e707395132f750fa958ebc0ea629b23b57bfe,Database J. Biol. Databases Curation_Vol2021
d852660e15e82ae150dcde105639ba2c7d90f01f,Undergraduate Topics in Computer Science_Vol2019
703d49a335799262e474ed8fe6044cd641a9e00a,Journal on Data Semantics_Vol2020
2d95c27d4ed8cfb8379164888cd79c6b239250b4,IEEE Access_Vol2020
0443c9a0fbb403d5e7d3593f5d286cb74ed0b490,Knowledge Discovery and Data Mining_Vol2020
c858ba9bce833896b49878a6793dbb382ed83c9e,Advances in Computer and Electrical Engineering_Vol2019
689c7a86d973895a14feb984b8faa3d5581038ef,ACM Computing Surveys_Vol2019
6ea38aacc779506909d425aa19114b92bb1854f8,Theory of Computing Systems_Vol2017
59f1df2f60280eea79d195b9c561d52a77fb24de,ACM Computing Surveys_Vol2016
659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85,BDCAT_Vol2019
d154d986c3a402c207c6c0e22093f2e1a878fe71,GRADES/NDA@SIGMOD/PODS_Vol2018
2be77516f6233a9d3ebbf93b439c3658d955d2e5,IEEE Transactions on Knowledge and Data Engineering_Vol2018
3876267a762615ac876df561b900aa6e564fc9b4,Applied Sciences_Vol2022
1f4bee77bb69b92dd16ce0c3ad0f477f4ecf1d30,Trans. GIS_Vol2019
39af4070dca3221d275898c55884167bc03fe73d,BlockSW/CKG@ISWC_Vol2019
6e4e15ab0d55232b93e76ddecb6c969a0d18f853,Journal of Database Management_Vol2019
647d0e540627c5a903299a90d20530f8e48c18d9,BioData Mining_Vol2016
8ada773522e0cc1b1a1b36b8e5d85417794a875f,Journal of Artificial Intelligence Research_Vol2018
16a65dcd609d48f79a9a271377628fdae5315a62,PLoS ONE_Vol2017
f75f16b5cf0fc2e667d79a122190757bfccb0a3d,WorldCIST_Vol2018
7549a6e03afdd42ae94c19235db076319eeb34f8,GRADES@SIGMOD/PODS_Vol2017
6cc4b0919f14bdcba4d3f1d97b04bd134bfb45c4,BMC Bioinformatics_Vol2016
f51dfc161c98140d4156e512dd3b4f839cc7f491,SDM_Vol2016
f7a8573d4daa4083419a864ef7a8bf97bc0754e5,WorldCIST_Vol2017
e7f1640a76bbfdf701e6cd4d81163be2eb97a4de,Vietnam Journal of Computer Science_Vol2017
42fe18be6e9ff2c11e5b2347c93e131c9abc7a51,IT Professional_Vol2017
a31b391917fbfc24675fc13a6724fe61460b425a,The VLDB journal_Vol2016
5685a394b25fcb27b6ad91f7325f2e60a9892e2a,arXiv.org_Vol2016
02808823641975868e3212fd7ae859514fdbdf32,ANT/SEIT_Vol2017
d6b68954d6acddce319de327af65d164bdfc5543,arXiv.org_Vol2020
71ca3a6c98c8b60117d01f324487ea8bfe34c54b,IEEE Transactions on Knowledge and Data Engineering_Vol2015
342253053f72911edc54df84708f1c1a8db279b6,The VLDB journal_Vol2015
8f6e3b466c4ecc6e0ff779e58cf1b885c7b09f11,Artificial Intelligence Applications and Innovations_Vol2015
217c25a7dc4380f12497edf4d7d013d11195c005,GRADES@SIGMOD/PODS_Vol2015
205d1d5689f7327d909f6a4addb2f0d98ab7d17e,Computer_Vol2015
6300cd54e6ae992d87cb22ce536aa99a5f9e6ab4,PPAA '14_Vol2014
ccca203382e5dd198c089a0f1d7af7bef0f694e9,Molecular Plant_Vol2020
f117c6f12d067bd66dad40996b3931c069daa2da,MIS Q._Vol2012
bf5a42b53d156c0811e88e60d2a49f9fd9367cae,Harvard Business Review_Vol2012
4b06c7e29280b1c6bc05c9df39023b48fef02c93,arXiv.org_Vol2021
85328b4a8132bf4299f8cd7f8e79e850d561c8fc,Iraqi Journal for Computers and Informatics_Vol2022
41d4e093d5f7ed5aae1aaa9eb6c037742e4cf9b1,Journal of Big Data_Vol2022
cc017a62c605a0749e35a1264a46d62e78fb68b7,Lecture Notes in Computer Science_Vol2019
1bc34cb22131554ba18f6ba9e6ede5beb42939f1,International Journal of Information Management_Vol2015
